show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s852,Movie,Crimson Shadows,Sofia Silva,,Germany,"June 23, 2020",2011,TV-MA,62 min,Sci-Fi & Fantasy,A heartfelt look at ordinary lives caught in extraordinary circumstances.
s633,Movie,Broken Empire,,"Nina Silva, Fatima Tanaka, Lucas Costa, Kenji Nguyen",United Kingdom,"June 23, 2023",2023,PG,102 min,"Dramas, Independent Movies","A tightly wound story exploring family, betrayal, and the search for belonging."
s61,Movie,Lost Harbor,Elena Cohen,"Yuki Fernandez, Priya Nguyen",,"June 1, 2019",2012,R,72 min,"Sci-Fi & Fantasy, Horror Movies",An emotional journey that blends humor and heartbreak in equal measure.
s529,Movie,Quiet River,Elena Müller,,Japan,"January 22, 2018",2013,R,80 min,"Children & Family Movies, Action & Adventure",An emotional journey that blends humor and heartbreak in equal measure.
s888,Movie,Distant Mirror,Elena Rossi,"Wei Park, Lucas Brown, Wei Park, Nina Rossi",South Korea,"May 7, 2022",2015,TV-MA,126 min,Sci-Fi & Fantasy,An emotional journey that blends humor and heartbreak in equal measure.
s1249,TV Show,Lost River,Grace Johnson,,Canada,"December 22, 2019",2009,TV-MA,6 Seasons,Reality TV,A suspenseful ride following a group determined to uncover the truth.
s971,Movie,Hidden Echoes,,"Liam Fernandez, Fatima Park",Italy,"April 23, 2019",2017,PG,164 min,Action & Adventure,A heartfelt look at ordinary lives caught in extraordinary circumstances.
s237,TV Show,Burning Storm,Meera Sharma,"Yuki Kim, Aiko Dubois",India,"December 23, 2022",2019,TV-Y7,4 Seasons,"TV Action & Adventure, Kids' TV, TV Comedies","A tightly wound story exploring family, betrayal, and the search for belonging."
s1214,Movie,Forgotten Promise,Meera Rossi,"Nina Nakamura, Wei Silva, Liam Fernandez, Amara Patel, Lucas Dubois",Mexico,"May 17, 2024",2024,TV-14,69 min,Romantic Movies,"Set against a vivid backdrop, this tells a tale of ambition, loss, and reinvention."
s859,Movie,Sacred Storm,Elena Fernandez,,United Kingdom,"December 8, 2024",2005,PG-13,65 min,"Documentaries, Action & Adventure","Set against a vivid backdrop, this tells a tale of ambition, loss, and reinvention."
s747,Movie,Burning Shadows,Aiko Dubois,,United States,"November 11, 2021",2018,R,89 min,"Romantic Movies, Children & Family Movies","Set against a vivid backdrop, this tells a tale of ambition, loss, and reinvention."
s160,Movie,Wild Harbor,,"Wei Costa, Elena Fernandez",United States,"February 12, 2019",2013,PG,160 min,Horror Movies,A heartfelt look at ordinary lives caught in extraordinary circumstances.
s409,Movie,Quiet Streets,Amara Silva,"Amara Garcia, Wei Khan, Sofia Tanaka, Diego Sharma, Fatima Kim",United States,"January 19, 2022",2008,TV-MA,154 min,Children & Family Movies,"Set against a vivid backdrop, this tells a tale of ambition, loss, and reinvention."
s839,Movie,Golden Echoes,Aarav Kim,,United States,"April 16, 2019",2017,TV-14,167 min,"Children & Family Movies, Action & Adventure","A tightly wound story exploring family, betrayal, and the search for belonging."
s992,Movie,Last Kingdom,,"Diego Johnson, Noah Brown, Priya Nakamura, Wei Tanaka, Aiko Khan",United States,"March 3, 2015",2008,PG-13,159 min,"Action & Adventure, Romantic Movies, Independent Movies","Set against a vivid backdrop, this tells a tale of ambition, loss, and reinvention."
s1088,Movie,Sacred Horizon,Elena Patel,"Fatima Silva, Sofia Kim, Nina Sharma, Liam Nguyen",Canada,"September 21, 2020",2006,PG-13,60 min,Independent Movies,A heartfelt look at ordinary lives caught in extraordinary circumstances.
s925,Movie,Golden Streets,Elena Nguyen,"Daniel Cohen, Fatima Patel, James Dubois, Amara Cohen",South Korea,"May 18, 2016",2010,TV-MA,106 min,Dramas,An emotional journey that blends humor and heartbreak in equal measure.
s143,TV Show,Wild Garden,,"Fatima Kim, James Kim, Nina Silva, Yuki Johnson, Elena Tanaka",Brazil,"April 14, 2017",2015,TV-Y7,1 Season,"Docuseries, TV Comedies",A heartfelt look at ordinary lives caught in extraordinary circumstances.
s999,TV Show,Burning Horizon: Case,,,India,"February 22, 2021",2021,TV-MA,3 Seasons,"Docuseries, Crime TV Shows",A heartfelt look at ordinary lives caught in extraordinary circumstances.
s164,Movie,Golden River,Carlos Nakamura,"Lucas Tanaka, Meera Costa, Sofia Johnson, Yuki Müller, Priya Dubois",United States,"June 18, 2020",2020,R,170 min,"Independent Movies, Comedies","Set against a vivid backdrop, this tells a tale of ambition, loss, and reinvention."
s956,Movie,Crimson Promise,,"Lucas Fernandez, Kenji Brown, Sofia Rossi",South Korea,"October 2, 2024",2024,TV-14,122 min,"Horror Movies, Romantic Movies",A suspenseful ride following a group determined to uncover the truth.
s770,Movie,Quiet Empire,Fatima Kim,,Brazil,"November 8, 2023",2019,TV-MA,148 min,"Comedies, Dramas, Children & Family Movies",An emotional journey that blends humor and heartbreak in equal measure.
s132,Movie,Last Skyline,Kenji Cohen,"Elena Brown, Liam Brown, Liam Cohen, Aiko Kim, Lucas Müller",United States,"November 22, 2022",2022,R,157 min,"Action & Adventure, Comedies, Independent Movies",A gripping story that follows unexpected turns as characters confront their past.
s932,Movie,Hidden Horizon,James Tanaka,"Yuki Patel, Meera Costa",,"May 13, 2018",2010,PG-13,152 min,Action & Adventure,"Set against a vivid backdrop, this tells a tale of ambition, loss, and reinvention."
s1072,TV Show,Forgotten Frontier,,"Amara Sharma, Meera Johnson, Kenji Khan",United States,"January 15, 2016",2012,TV-G,1 Season,"International TV Shows, Anime Series","A tightly wound story exploring family, betrayal, and the search for belonging."
s1230,TV Show,Wild Kingdom,,"Elena Dubois, Amara Müller, Diego Kim, Liam Tanaka",France,"August 25, 2023",2023,TV-G,6 Seasons,"International TV Shows, TV Comedies, Anime Series",A gripping story that follows unexpected turns as characters confront their past.
s82,TV Show,Hidden Shadows,,"Sofia Müller, Carlos Johnson",,"March 23, 2021",2017,TV-MA,1 Season,International TV Shows,An emotional journey that blends humor and heartbreak in equal measure.
s909,Movie,Dark Legacy,,"Kenji Johnson, Priya Brown, Grace Park, Kenji Garcia",,"October 11, 2017",2008,PG-13,87 min,"Comedies, Action & Adventure",A gripping story that follows unexpected turns as characters confront their past.
s50,Movie,Lost River,,"Diego Fernandez, Carlos Cohen, Grace Tanaka, Grace Silva",united states,"April 6, 2019",2012,PG-13,163 min,"Dramas, Comedies",A heartfelt look at ordinary lives caught in extraordinary circumstances.
s776,TV Show,Lost Shadows,,,Japan,"December 23, 2019",2019,TV-G,3 Seasons,"Kids' TV, Anime Series, Romantic TV Shows",A suspenseful ride following a group determined to uncover the truth.
s433,TV Show,Endless Journey,,"Wei Garcia, Sofia Khan, Wei Sharma, Aiko Patel, Aiko Sharma",United States,"December 20, 2023",2005,TV-MA,7 Seasons,"TV Action & Adventure, Romantic TV Shows, Docuseries",An emotional journey that blends humor and heartbreak in equal measure.
s232,Movie,Broken Whisper,,,Brazil,"December 14, 2024",2024,R,160 min,"Thrillers, Independent Movies, Dramas",A heartfelt look at ordinary lives caught in extraordinary circumstances.
s674,Movie,Quiet Empire,Elena Rossi,"Priya Khan, Elena Müller, Sofia Silva, Daniel Sharma, Nina Silva",  Nigeria  ,"October 24, 2019",2019,R,66 min,"Documentaries, Independent Movies",A suspenseful ride following a group determined to uncover the truth.
s1198,Movie,Lost Storm,Aarav Tanaka,"Priya Cohen, Fatima Patel, Grace Rossi, Sofia Johnson, James Sharma",United States,"August 24, 2020",2006,G,154 min,"Thrillers, Dramas, Children & Family Movies",An emotional journey that blends humor and heartbreak in equal measure.
s1236,Movie,Frozen Garden,,"Yuki Sharma, Noah Costa, Liam Khan, Meera Garcia",United States,"December 18, 2024",2024,R,172 min,Horror Movies,A gripping story that follows unexpected turns as characters confront their past.
s460,Movie,Hidden Promise,Diego Kim,"Wei Müller, Daniel Costa",Italy,"October 20, 2022",2022,TV-MA,91 min,Romantic Movies,"A tightly wound story exploring family, betrayal, and the search for belonging."
s1019,TV Show,Endless River,,,United States,"March 8, 2021",2020,TV-MA,7 Seasons,Kids' TV,"Set against a vivid backdrop, this tells a tale of ambition, loss, and reinvention."
s1231,Movie,Last Empire,Carlos Nakamura,"James Kim, Carlos Silva, Elena Dubois, Grace Cohen, Wei Dubois",United States,"October 6, 2022",2015,R,159 min,"Action & Adventure, Dramas",A heartfelt look at ordinary lives caught in extraordinary circumstances.
s504,Movie,Frozen Symphony,Priya Silva,"Aarav Kim, Liam Park",Canada,"October 5, 2022",2005,TV-14,153 min,"Thrillers, Sci-Fi & Fantasy","Set against a vivid backdrop, this tells a tale of ambition, loss, and reinvention."
s1218,Movie,Forgotten Legacy,Lucas Sharma,"Yuki Cohen, James Sharma, Amara Park",  India  ,"December 19, 2019",2019,PG,111 min,Sci-Fi & Fantasy,A gripping story that follows unexpected turns as characters confront their past.
s187,Movie,Broken Legacy,Carlos Khan,"Daniel Brown, Grace Garcia, Liam Tanaka, Yuki Dubois",,"May 15, 2024",2014,R,80 min,"Children & Family Movies, Independent Movies",An emotional journey that blends humor and heartbreak in equal measure.
s349,Movie,Shattered River,Carlos Johnson,"Wei Costa, Aarav Garcia, Carlos Silva, Priya Rossi, Nina Johnson",United States,"March 14, 2019",2008,PG-13,177 min,"Sci-Fi & Fantasy, Documentaries, Thrillers","A tightly wound story exploring family, betrayal, and the search for belonging."
s1122,Movie,Wild Mirror,,"Meera Müller, Amara Tanaka, James Fernandez, Daniel Tanaka",Australia,"May 9, 2018",2018,R,127 min,"Dramas, Action & Adventure, Documentaries",An emotional journey that blends humor and heartbreak in equal measure.
s1127,Movie,Broken Legacy,,,Spain,"August 21, 2017",2015,NC-17,171 min,"Dramas, Action & Adventure",A suspenseful ride following a group determined to uncover the truth.
s666,Movie,Lost Streets,Grace Sharma,,Mexico,"July 1, 2022",2019,TV-MA,64 min,Documentaries,An emotional journey that blends humor and heartbreak in equal measure.
s182,Movie,Silent Garden,Liam Müller,,United States,"June 14, 2023",2022,G,108 min,"Children & Family Movies, Independent Movies, Thrillers",An emotional journey that blends humor and heartbreak in equal measure.
s931,Movie,Silent Whisper,Yuki Rossi,,South Korea,"March 19, 2019",2016,TV-MA,138 min,"Dramas, Documentaries",A suspenseful ride following a group determined to uncover the truth.
s522,Movie,Frozen Mirror,Noah Silva,"Grace Nakamura, Grace Müller, Yuki Khan",United Kingdom,"October 21, 2018",2008,R,83 min,"Horror Movies, Romantic Movies, Documentaries",A heartfelt look at ordinary lives caught in extraordinary circumstances.
s576,Movie,Lost Garden,Diego Brown,,Nigeria,"April 4, 2024",2019,R,152 min,"Action & Adventure, Thrillers",A gripping story that follows unexpected turns as characters confront their past.
s538,TV Show,Silent Skyline: Diaries,,,  India  ,"March 9, 2020",2008,TV-14,2 Seasons,TV Dramas,"A tightly wound story exploring family, betrayal, and the search for belonging."
s703,Movie,Last Horizon,Fatima Khan,"Carlos Patel, Meera Johnson, Priya Costa, Amara Silva",Spain,"June 22, 2020",2011,R,132 min,"Romantic Movies, Thrillers",A gripping story that follows unexpected turns as characters confront their past.
s13,Movie,Quiet Promise,Daniel Silva,"Aarav Tanaka, Lucas Nguyen",United States,"July 19, 2020",2017,R,103 min,Thrillers,An emotional journey that blends humor and heartbreak in equal measure.
s898,TV Show,Wild Harbor,,"Priya Rossi, Yuki Nguyen, Kenji Tanaka, Meera Costa",United States,"December 8, 2022",2019,TV-MA,1 Season,"Kids' TV, Romantic TV Shows, International TV Shows",A suspenseful ride following a group determined to uncover the truth.
s1037,Movie,Last Streets,Priya Nakamura,"Carlos Nakamura, Diego Costa",Germany,"July 22, 2021",2021,PG-13,167 min,"Sci-Fi & Fantasy, Children & Family Movies",A heartfelt look at ordinary lives caught in extraordinary circumstances.
s698,Movie,Forgotten Promise,Liam Kim,"Aiko Brown, Liam Müller, Kenji Johnson, Noah Brown, Aarav Sharma",France,"August 3, 2017",2012,TV-MA,136 min,Comedies,A gripping story that follows unexpected turns as characters confront their past.
s316,Movie,Wild Whisper,Grace Park,"Kenji Costa, Lucas Khan, Nina Rossi",,"November 22, 2022",2020,TV-MA,166 min,Independent Movies,An emotional journey that blends humor and heartbreak in equal measure.
s1070,TV Show,Broken Kingdom,,"Meera Nakamura, Sofia Nguyen, Sofia Tanaka, Grace Rossi, Amara Tanaka",united states,"September 8, 2020",2010,TV-Y7,3 Seasons,"Reality TV, TV Action & Adventure",A gripping story that follows unexpected turns as characters confront their past.
s694,TV Show,Lost Promise: Tapes,,,Australia,"March 26, 2020",2006,TV-14,2 Seasons,"Anime Series, Docuseries, Crime TV Shows",A suspenseful ride following a group determined to uncover the truth.
s862,Movie,Dark Harbor,Liam Tanaka,,canada,"March 4, 2024",2022,R,120 min,"Action & Adventure, Thrillers, Horror Movies","Set against a vivid backdrop, this tells a tale of ambition, loss, and reinvention."
s1016,Movie,Shattered Horizon,James Kim,"Wei Costa, Kenji Patel, Sofia Nguyen, Lucas Garcia, Liam Khan",,"August 1, 2021",2021,PG,132 min,"Dramas, Children & Family Movies",A gripping story that follows unexpected turns as characters confront their past.
s641,TV Show,Sacred Storm,,"James Sharma, Elena Khan, Carlos Tanaka, Elena Dubois, Diego Nguyen",,"September 11, 2024",2024,TV-PG,5 Seasons,"Reality TV, Kids' TV",A gripping story that follows unexpected turns as characters confront their past.
s933,Movie,Wild Symphony,Amara Müller,,United States,"May 16, 2024",2024,TV-14,177 min,"Documentaries, Thrillers, Children & Family Movies","Set against a vivid backdrop, this tells a tale of ambition, loss, and reinvention."
s431,TV Show,Forgotten Promise,,"Meera Park, James Khan, Yuki Fernandez",Brazil,"May 8, 2017",2017,TV-MA,5 Seasons,Anime Series,A gripping story that follows unexpected turns as characters confront their past.
s943,TV Show,Distant River,,,Canada,"January 18, 2019",2011,TV-MA,4 Seasons,"TV Action & Adventure, Anime Series",A heartfelt look at ordinary lives caught in extraordinary circumstances.
s1052,Movie,Quiet Journey,Aiko Fernandez,"Grace Silva, Daniel Tanaka, Diego Nakamura",United Kingdom,"December 26, 2024",2011,TV-MA,108 min,"Independent Movies, Comedies",A suspenseful ride following a group determined to uncover the truth.
s205,Movie,Hidden Streets,Aiko Dubois,"Lucas Silva, Aarav Park, Yuki Cohen, Meera Garcia",France,"July 5, 2017",2013,R,125 min,Sci-Fi & Fantasy,"Set against a vivid backdrop, this tells a tale of ambition, loss, and reinvention."
s905,Movie,Lost Harbor,,"Aarav Silva, Fatima Tanaka, Yuki Garcia, Fatima Fernandez",India,"November 24, 2022",2011,PG,113 min,Comedies,A suspenseful ride following a group determined to uncover the truth.
s1128,TV Show,Lost Kingdom: Circle,Amara Müller,"Priya Silva, Meera Fernandez",Canada,"May 23, 2018",2018,TV-G,4 Seasons,Kids' TV,A suspenseful ride following a group determined to uncover the truth.
s1208,Movie,Frozen Promise,Wei Sharma,,,"October 15, 2020",2020,PG,138 min,"Sci-Fi & Fantasy, Children & Family Movies, Comedies",An emotional journey that blends humor and heartbreak in equal measure.
s326,TV Show,Last Symphony,,,Mexico,"May 24, 2018",2018,TV-PG,2 Seasons,"Romantic TV Shows, Docuseries","A tightly wound story exploring family, betrayal, and the search for belonging."
s263,Movie,Shattered Journey,Amara Kim,"James Dubois, Aarav Khan, Elena Garcia, Grace Müller",United States,"August 10, 2023",2018,R,139 min,Documentaries,An emotional journey that blends humor and heartbreak in equal measure.
s1139,Movie,Frozen Promise,Noah Johnson,,Mexico,"June 10, 2020",2020,R,77 min,"Action & Adventure, Children & Family Movies","Set against a vivid backdrop, this tells a tale of ambition, loss, and reinvention."
s311,Movie,Endless Storm,Sofia Johnson,"Elena Nakamura, Noah Khan, Carlos Park, Fatima Kim, James Cohen",Canada,"November 2, 2022",2006,PG-13,136 min,Documentaries,A gripping story that follows unexpected turns as characters confront their past.
s840,Movie,Golden Storm,James Costa,,Spain,"March 16, 2022",2022,R,122 min,Documentaries,"A tightly wound story exploring family, betrayal, and the search for belonging."
s202,Movie,Lost Horizon,,"Sofia Tanaka, Grace Rossi",India,"February 8, 2024",2022,TV-14,63 min,"Independent Movies, Action & Adventure","Set against a vivid backdrop, this tells a tale of ambition, loss, and reinvention."
s946,Movie,Frozen Mirror,Carlos Müller,"Lucas Dubois, Noah Fernandez, Daniel Tanaka, Meera Cohen, Daniel Park",United States,"December 11, 2017",2010,G,153 min,"Dramas, Thrillers","Set against a vivid backdrop, this tells a tale of ambition, loss, and reinvention."
s568,TV Show,Frozen Horizon,Yuki Park,"Diego Cohen, Wei Silva, Nina Kim, Fatima Tanaka, Carlos Park",Germany,"January 9, 2016",2013,TV-PG,3 Seasons,"Anime Series, TV Comedies, Romantic TV Shows",A heartfelt look at ordinary lives caught in extraordinary circumstances.
s453,TV Show,Dark Streets: Chronicles,,,United States,"December 27, 2020",2017,TV-MA,3 Seasons,"International TV Shows, Reality TV",A gripping story that follows unexpected turns as characters confront their past.
s59,Movie,Forgotten Skyline,Grace Park,,India,"February 21, 2023",2023,R,83 min,Dramas,A suspenseful ride following a group determined to uncover the truth.
